canopy_height,cultivar,season,range,column,leaf_angle_mean,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,date,day_offset,single_xgboost,abserror_single_xgboost,single_dtree,abserror_single_dtree,per_cultivar_gboost,abserror_per_cultivar_gboost
21.0,PI643016,4,39,14,0.374901960784,4.02746443705,2.31774568166,1.99708788943,2017-05-16 12:00:00,15,24.620701670367723,17.241436525560584,20.68421052631579,1.5037593984962325,21.005578055336787,0.026562168270416464
25.0,PI329310,4,40,2,0.466064501187,2.2512177953,1.7961133217200005,1.67691998375,2017-05-16 12:00:00,15,23.90876498360928,4.364940065562877,26.0,4.0,25.005402751325192,0.021611005300769648
19.0,PI273969,4,41,9,0.4179365079370001,3.21000252749,2.05520596448,1.87653075287,2017-05-16 12:00:00,15,22.887324010996565,20.459600057876656,20.68421052631579,8.864265927977849,19.00506808209587,0.026674116294058223
21.0,PI521280,4,42,9,0.399852344038,3.54301480333,2.09320394681,1.96256600679,2017-05-16 12:00:00,15,23.173076752418634,10.34798453532683,20.68421052631579,1.5037593984962325,21.004631938190645,0.022056848526880963
24.0,PI563020,4,48,6,0.405010596427,3.76640652241,2.27538773855,1.91815648967,2017-05-16 12:00:00,15,23.119795568595293,3.6675184641862777,20.68421052631579,13.815789473684204,24.004679520312123,0.019498001300514527
17.0,PI569416,4,30,4,0.415638727816,3.1089395709400005,2.00412277426,1.87635061768,2017-05-16 12:00:00,15,20.39171159967933,19.951244703996053,16.2,4.705882352941181,17.004361811570213,0.025657715118900543
19.0,PI19770,4,51,8,0.434397348683,3.30204795283,2.16107465776,1.80951909361,2017-05-16 12:00:00,15,20.44605122965404,7.610795945547572,20.68421052631579,8.864265927977849,19.005189828039907,0.027314884420560685
17.0,PI221548,4,33,15,0.333305274972,4.42875412324,2.2774651672,2.15998934576,2017-05-16 12:00:00,15,20.498612205567255,20.580071797454444,16.2,4.705882352941181,17.004487699415506,0.02639823185591815
21.0,PI251672,4,42,3,0.436848412223,2.87506404853,1.97775924833,1.79491742753,2017-05-16 12:00:00,15,23.142605449396473,10.202883092364159,20.68421052631579,1.5037593984962325,21.005102878282088,0.024299420390894694
17.0,PI620157,4,48,2,0.418595018192,3.3912230401300003,2.18770765512,1.85221689498,2017-05-16 12:00:00,15,20.312305211650116,19.484148303824213,20.68421052631579,21.67182662538701,17.004665086725367,0.027441686619808666
16.0,PI145633,4,51,3,0.414221305212,3.25326410587,2.15918306701,1.84380257819,2017-05-16 12:00:00,15,17.927211156940388,12.045069730877422,20.68421052631579,29.276315789473696,16.00454849293299,0.02842808083118875
18.0,PI655981,4,33,5,0.413831310302,3.35140580579,2.1179318262,1.88053863818,2017-05-16 12:00:00,15,18.92324095423077,5.12911641239317,16.2,10.000000000000004,18.00524844919574,0.029158051087444885
20.0,PI570388,4,42,5,0.384930088037,3.92260767795,2.28433726357,1.98046312923,2017-05-16 12:00:00,15,22.78448454683544,13.9224227341772,20.68421052631579,3.421052631578956,20.00521477776296,0.026073888814792667
25.0,PI257599,4,41,12,0.390561868687,4.088875731680002,2.34451600769,1.97281234611,2017-05-16 12:00:00,15,22.857467731571212,8.570129073715151,20.68421052631579,17.263157894736835,25.005092934031865,0.020371736127458462
20.0,PI155885,4,36,2,0.450302840434,2.63756037846,1.95418580021,1.7255309441,2017-05-16 12:00:00,15,21.923116343908838,9.615581719544188,20.166666666666668,0.8333333333333393,20.004194311353668,0.02097155676834106
15.0,PI569445,4,34,12,0.37317251462,4.72061134563,2.64072911963,1.99826846495,2017-05-16 12:00:00,15,15.450550114770122,3.003667431800814,16.2,7.999999999999996,15.004806068620164,0.032040457467760554
19.0,PI152728,4,44,3,0.399741602067,3.38605495115,2.07065562343,1.94182439536,2017-05-16 12:00:00,15,18.41855189261466,3.0602531967649553,20.68421052631579,8.864265927977849,19.004224902015647,0.022236326398141302
20.0,PI535792,4,46,10,0.393937819347,3.73123789239,2.20127224286,1.95455526891,2017-05-16 12:00:00,15,22.85670669335093,14.283533466754648,20.68421052631579,3.421052631578956,20.00488281330799,0.024414066539950596
18.0,PI156178,4,47,12,0.456944444444,2.98663148709,2.30736501918,1.6594609232700002,2017-05-16 12:00:00,15,16.690458188652787,7.275232285262295,20.68421052631579,14.912280701754396,18.003949946057286,0.021944144762701494
20.0,PI655972,4,50,6,0.383734939759,4.11344930477,2.46234859767,1.93992446467,2017-05-16 12:00:00,15,19.90980575699301,0.4509712150349543,20.68421052631579,3.421052631578956,20.004101756648684,0.020508783243418094
22.0,SP1615,4,19,16,0.401143563591,3.40596672645,2.04931537102,1.94130807434,2017-05-18 12:00:00,17,28.37806485815771,28.991203900716865,20.58974358974359,6.4102564102564035,22.005024566045762,0.022838936571645263
24.0,PI653616,4,3,8,0.455770708468,2.6729487789,2.0326102052,1.69075070223,2017-05-18 12:00:00,17,24.140303130875665,0.5845963786486053,20.58974358974359,14.209401709401703,24.002342652404153,0.009761051683968939
22.0,PI569097,4,3,10,0.47110503116,2.07955414782,1.6428541619,1.6904450723,2017-05-18 12:00:00,17,22.437030560900034,1.986502549545609,20.58974358974359,6.4102564102564035,22.002518020614545,0.011445548247931729
26.0,PI330168,4,5,9,0.427231755937,3.1697819390499995,2.04905839683,1.851104642,2017-05-18 12:00:00,17,26.851599097048428,3.2753811424939547,20.58974358974359,20.808678500986186,26.002086060346922,0.00802330902662454
23.0,PI152966,4,5,15,0.39803071364,4.19942157143,2.45028961448,1.93224240516,2017-05-18 12:00:00,17,23.497426803136005,2.1627252310261076,20.58974358974359,10.479375696766995,23.001892993200393,0.00823040521909923
23.0,PI570075,4,6,2,0.447433654127,2.60715364103,1.85737083621,1.7737386601599998,2017-05-18 12:00:00,17,21.756027456895477,5.40857627436749,20.58974358974359,10.479375696766995,23.001986772260352,0.008638140262400671
19.0,PI329646,4,6,8,0.426230269266,2.96743566421,2.06884233722,1.80305175708,2017-05-18 12:00:00,17,19.124980237952013,0.6577907260632244,20.58974358974359,8.367071524966269,19.00164326521118,0.008648764269362405
16.0,PI563009,4,6,10,0.397851851852,3.15559117098,1.9697004542400005,1.93311962023,2017-05-18 12:00:00,17,21.457844538019216,34.111528362620106,20.58974358974359,28.685897435897445,16.005110579154717,0.03194111971698277
21.0,PI329517,4,6,12,0.4323579462910001,2.81435635622,1.9757616094,1.79303580971,2017-05-18 12:00:00,17,22.942004017892348,9.24763818043975,20.58974358974359,1.9536019536019467,21.005366267913903,0.02555365673287164
